season,team,team_abb,player,position,games,minutes_per_game
2022-23,Oklahoma City Thunder,OKC,Shai Gilgeous-Alexander,G,68,35.5
2022-23,Oklahoma City Thunder,OKC,Josh Giddey,G,76,31.1
2022-23,Oklahoma City Thunder,OKC,Luguentz Dort,G,74,30.7
2022-23,Oklahoma City Thunder,OKC,Jalen Williams,G-F,75,30.3
2022-23,Oklahoma City Thunder,OKC,Kenrich Williams,G-F,53,22.8
2022-23,Oklahoma City Thunder,OKC,Aleksej Pokusevski,F,34,20.6
2022-23,Oklahoma City Thunder,OKC,Isaiah Joe,G,73,19.1
2022-23,Oklahoma City Thunder,OKC,Jeremiah Robinson-Earl,F,43,18.9
2022-23,Oklahoma City Thunder,OKC,Jaylin Williams,F,49,18.7
2022-23,Oklahoma City Thunder,OKC,Aaron Wiggins,G,70,18.5
2022-23,Oklahoma City Thunder,OKC,Tre Mann,G,67,17.7
2022-23,Oklahoma City Thunder,OKC,Ousmane Dieng,F,39,14.6
2022-23,Oklahoma City Thunder,OKC,Dario Šarić,F-C,57,14.1
2022-23,Oklahoma City Thunder,OKC,Lindy Waters III,F,41,12.9
2022-23,Oklahoma City Thunder,OKC,Jared Butler,G,6,12.8
2022-23,Oklahoma City Thunder,OKC,Olivier Sarr,C,9,12.6
2022-23,Oklahoma City Thunder,OKC,Chet Holmgren,C-F,0,0.0
2022-23,Toronto Raptors,TOR,Pascal Siakam,F,71,37.4
2022-23,Toronto Raptors,TOR,Fred VanVleet,G,69,36.7
2022-23,Toronto Raptors,TOR,OG Anunoby,F,67,35.6
2022-23,Toronto Raptors,TOR,Scottie Barnes,F,77,34.8
2022-23,Toronto Raptors,TOR,Gary Trent Jr.,G-F,66,32.1
2022-23,Toronto Raptors,TOR,Jakob Poeltl,C,72,26.5
2022-23,Toronto Raptors,TOR,Precious Achiuwa,F,55,20.7
2022-23,Toronto Raptors,TOR,Chris Boucher,F-C,76,20.0
2022-23,Toronto Raptors,TOR,Otto Porter Jr.,F,8,18.3
2022-23,Toronto Raptors,TOR,Will Barton,G,56,17.7
2022-23,Toronto Raptors,TOR,Thaddeus Young,F,54,14.7
2022-23,Toronto Raptors,TOR,Christian Koloko,C,58,13.8
2022-23,Toronto Raptors,TOR,Malachi Flynn,G,53,13.0
2022-23,Toronto Raptors,TOR,Jeff Dowtin Jr.,G,25,10.3
2022-23,Toronto Raptors,TOR,Dalano Banton,F,31,9.0
2022-23,Toronto Raptors,TOR,Joe Wieskamp,G-F,9,5.5
2022-23,Toronto Raptors,TOR,Ron Harper Jr.,F,9,5.3
2022-23,Utah Jazz,UTA,Lauri Markkanen,F-C,66,34.4
2022-23,Utah Jazz,UTA,Jordan Clarkson,G,61,32.6
2022-23,Utah Jazz,UTA,Kelly Olynyk,F-C,68,28.6
2022-23,Utah Jazz,UTA,Kris Dunn,G,22,25.8
2022-23,Utah Jazz,UTA,Collin Sexton,G,48,23.9
2022-23,Utah Jazz,UTA,Walker Kessler,C,74,23.0
2022-23,Utah Jazz,UTA,Luka Samanic,F,7,23.0
2022-23,Utah Jazz,UTA,Ochai Agbaji,G,59,20.5
2022-23,Utah Jazz,UTA,Talen Horton-Tucker,G,65,20.2
2022-23,Utah Jazz,UTA,Simone Fontecchio,F,52,14.7
2022-23,Utah Jazz,UTA,Rudy Gay,F-G,56,14.6
2022-23,Utah Jazz,UTA,Juan Toscano-Anderson,F,52,13.5
2022-23,Utah Jazz,UTA,Johnny Juzang,G,18,12.9
2022-23,Utah Jazz,UTA,Damian Jones,C,41,11.6
2022-23,Utah Jazz,UTA,Udoka Azubuike,C-F,36,10.0
2022-23,Utah Jazz,UTA,Micah Potter,C,7,7.5
2022-23,Utah Jazz,UTA,Vernon Carey Jr.,C,11,2.6
2022-23,Memphis Grizzlies,MEM,Jacob Gilyard,G,1,40.8
2022-23,Memphis Grizzlies,MEM,Ja Morant,G,61,31.9
2022-23,Memphis Grizzlies,MEM,Desmond Bane,G,58,31.7
2022-23,Memphis Grizzlies,MEM,Dillon Brooks,G-F,73,30.3
2022-23,Memphis Grizzlies,MEM,Jaren Jackson Jr.,F-C,63,28.4
2022-23,Memphis Grizzlies,MEM,Steven Adams,C,42,27.0
2022-23,Memphis Grizzlies,MEM,Tyus Jones,G,80,24.2
2022-23,Memphis Grizzlies,MEM,Luke Kennard,G,59,22.3
2022-23,Memphis Grizzlies,MEM,Santi Aldama,F-C,77,21.8
2022-23,Memphis Grizzlies,MEM,John Konchar,G,72,20.7
2022-23,Memphis Grizzlies,MEM,Brandon Clarke,F,56,19.5
2022-23,Memphis Grizzlies,MEM,Xavier Tillman,F,61,19.3
2022-23,Memphis Grizzlies,MEM,David Roddy,F,70,18.0
2022-23,Memphis Grizzlies,MEM,Ziaire Williams,F,37,15.2
2022-23,Memphis Grizzlies,MEM,Jake LaRavia,F,35,11.8
2022-23,Memphis Grizzlies,MEM,Kenneth Lofton Jr.,F,24,7.3
2022-23,Memphis Grizzlies,MEM,Vince Williams Jr.,G,15,7.0
2022-23,Washington Wizards,WAS,Kyle Kuzma,F,64,35.0
2022-23,Washington Wizards,WAS,Bradley Beal,G,50,33.5
2022-23,Washington Wizards,WAS,Kristaps Porziņģis,F-C,65,32.6
2022-23,Washington Wizards,WAS,Corey Kispert,F,74,28.3
2022-23,Washington Wizards,WAS,Monté Morris,G,62,27.4
2022-23,Washington Wizards,WAS,Deni Avdija,F,76,26.6
2022-23,Washington Wizards,WAS,Delon Wright,G,50,24.4
2022-23,Washington Wizards,WAS,Daniel Gafford,F-C,78,20.6
2022-23,Washington Wizards,WAS,Jordan Goodwin,G,62,17.8
2022-23,Washington Wizards,WAS,Johnny Davis,G,28,15.1
2022-23,Washington Wizards,WAS,Quenton Jackson,G,9,15.0
2022-23,Washington Wizards,WAS,Kendrick Nunn,G,70,13.8
2022-23,Washington Wizards,WAS,Jay Huff,C,7,13.6
2022-23,Washington Wizards,WAS,Xavier Cooks,F,10,12.6
2022-23,Washington Wizards,WAS,Anthony Gill,F,59,10.6
2022-23,Washington Wizards,WAS,Isaiah Todd,F,6,10.2
2022-23,Washington Wizards,WAS,Taj Gibson,F,49,9.8
2022-23,Detroit Pistons,DET,Cade Cunningham,G,12,33.3
2022-23,Detroit Pistons,DET,Bojan Bogdanovic,F,59,32.1
2022-23,Detroit Pistons,DET,Jaden Ivey,G,74,31.1
2022-23,Detroit Pistons,DET,Isaiah Stewart,F-C,50,28.3
2022-23,Detroit Pistons,DET,Killian Hayes,G,76,28.3
2022-23,Detroit Pistons,DET,Jalen Duren,C,67,24.9
2022-23,Detroit Pistons,DET,Marvin Bagley III,F,42,23.6
2022-23,Detroit Pistons,DET,Isaiah Livers,F,52,23.1
2022-23,Detroit Pistons,DET,Alec Burks,G,51,22.0
2022-23,Detroit Pistons,DET,Cory Joseph,G,62,19.8
2022-23,Detroit Pistons,DET,James Wiseman,C,45,19.3
2022-23,Detroit Pistons,DET,Hamidou Diallo,G,56,17.8
2022-23,Detroit Pistons,DET,Rodney McGruder,G,32,16.4
2022-23,Detroit Pistons,DET,Eugene Omoruyi,F,40,16.1
2022-23,Detroit Pistons,DET,R.J. Hampton,G,47,15.9
2022-23,Detroit Pistons,DET,Jared Rhoden,G,14,14.1
2022-23,Detroit Pistons,DET,Buddy Boeheim,F,10,9.0
2022-23,Charlotte Hornets,CHA,Terry Rozier,G,63,35.3
2022-23,Charlotte Hornets,CHA,LaMelo Ball,G,36,35.2
2022-23,Charlotte Hornets,CHA,P.J. Washington,F,73,32.6
2022-23,Charlotte Hornets,CHA,Kelly Oubre Jr.,F-G,48,32.2
2022-23,Charlotte Hornets,CHA,Gordon Hayward,F,50,31.5
2022-23,Charlotte Hornets,CHA,Dennis Smith Jr.,G,54,25.7
2022-23,Charlotte Hornets,CHA,Theo Maledon,G,44,19.4
2022-23,Charlotte Hornets,CHA,Mark Williams,C,43,19.3
2022-23,Charlotte Hornets,CHA,Cody Martin,F,7,19.1
2022-23,Charlotte Hornets,CHA,Nick Richards,C,65,18.7
2022-23,Charlotte Hornets,CHA,Bryce McGowens,G,46,17.1
2022-23,Charlotte Hornets,CHA,James Bouknight,G,34,15.2
2022-23,Charlotte Hornets,CHA,Svi Mykhailiuk,G-F,32,14.6
2022-23,Charlotte Hornets,CHA,JT Thor,F,69,14.0
2022-23,Charlotte Hornets,CHA,Xavier Sneed,F,4,12.1
2022-23,Charlotte Hornets,CHA,Kai Jones,C-F,46,11.9
2022-23,Charlotte Hornets,CHA,Kobi Simmons,G,5,5.6
